"","occurenceId","sourceTaxonName","targetTaxonName","interactionTypeName","localityContinent","localityCountry","roostCat1","bat","trophic","roost","X.N.A","usageKey_gbif","scientificName_gbif","rank_gbif","status_gbif","confidence_gbif","matchType_gbif","kingdom_gbif","phylum_gbif","order_gbif","family_gbif","genus_gbif","kingdomKey_gbif","phylumKey_gbif","classKey_gbif","orderKey_gbif","familyKey_gbif","genusKey_gbif","synonym_gbif","class_gbif","species_gbif","speciesKey_gbif","acceptedUsageKey_gbif","phylum_Expert","class_Expert","order_Expert","family_Expert","genus_Expert","species_Expert","canonicalName_Expert","authorship_Expert","scientificName_normalized_GBIF","key_GBIF","TaxonMatch_GBIF","confidence_GBIF","status_GBIF","rank_GBIF","kingdom_GBIF","phylum_GBIF","class_GBIF","order_GBIF","family_GBIF","genus_GBIF","species_GBIF","canonicalName_GBIF","authorship_GBIF","scientificName_normalized_Expert","key_GBIF.1"
"4378","HeithausEtal1975-o78","Sturnira lilium (E.Geoffroy, 1810)","Manilkara zapota (L.) P.Royen","eats","Central America","Costa Rica","",NA,"yes",NA,NA,2885158,"Manilkara zapota (L.) P.Royen","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Ericales","Sapotaceae","Manilkara",6,7707728,220,1353,8802,2885024,FALSE,"Magnoliopsida","Manilkara zapota",2885158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4379","HeithausEtal1975-o8","Phyllostomus discolor Wagner, 1843","Ceiba pentandra (L.) Gaertn.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,5406697,"Ceiba pentandra (L.) Gaertn.","SPECIES","ACCEPTED",94,"FUZZY","Plantae","Tracheophyta","Malvales","Malvaceae","Ceiba",6,7707728,220,941,6685,3152218,FALSE,"Magnoliopsida","Ceiba pentandra",5406697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4380","HeithausEtal1975-o8","Phyllostomus discolor Wagner, 1843","Ceiba pentandra (L.) Gaertn.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,5406697,"Ceiba pentandra (L.) Gaertn.","SPECIES","ACCEPTED",94,"FUZZY","Plantae","Tracheophyta","Malvales","Malvaceae","Ceiba",6,7707728,220,941,6685,3152218,FALSE,"Magnoliopsida","Ceiba pentandra",5406697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4381","HeithausEtal1975-o8","Phyllostomus discolor Wagner, 1843","Ceiba pentandra (L.) Gaertn.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,5406697,"Ceiba pentandra (L.) Gaertn.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Malvales","Malvaceae","Ceiba",6,7707728,220,941,6685,3152218,FALSE,"Magnoliopsida","Ceiba pentandra",5406697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4382","HeithausEtal1975-o80","Glossophaga soricina (Pallas, 1766)","Muntingia calabura L.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,3152036,"Muntingia calabura L.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Malvales","Muntingiaceae","Muntingia",6,7707728,220,941,2230,3152035,FALSE,"Magnoliopsida","Muntingia calabura",3152036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4383","HeithausEtal1975-o82","Glossophaga soricina (Pallas, 1766)","Solanum hirtum Vahl","eats","Central America","Costa Rica","",NA,"yes",NA,NA,2929212,"Solanum hirtum Vahl","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum",6,7707728,220,1176,7717,2928997,FALSE,"Magnoliopsida","Solanum hirtum",2929212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4384","HeithausEtal1975-o84","Glossophaga soricina (Pallas, 1766)","Piper tuberculatum Jacq.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,3086328,"Piper tuberculatum Jacq.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Piperales","Piperaceae","Piper",6,7707728,220,404,6678,3075433,FALSE,"Magnoliopsida","Piper tuberculatum",3086328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4385","HeithausEtal1975-o86","Carollia perspicillata (Linnaeus, 1758)","Muntingia calabura L.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,3152036,"Muntingia calabura L.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Malvales","Muntingiaceae","Muntingia",6,7707728,220,941,2230,3152035,FALSE,"Magnoliopsida","Muntingia calabura",3152036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4386","HeithausEtal1975-o86","Carollia perspicillata (Linnaeus, 1758)","Muntingia calabura L.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,3152036,"Muntingia calabura L.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Malvales","Muntingiaceae","Muntingia",6,7707728,220,941,2230,3152035,FALSE,"Magnoliopsida","Muntingia calabura",3152036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4387","HeithausEtal1975-o86","Carollia perspicillata (Linnaeus, 1758)","Muntingia calabura L.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,3152036,"Muntingia calabura L.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Malvales","Muntingiaceae","Muntingia",6,7707728,220,941,2230,3152035,FALSE,"Magnoliopsida","Muntingia calabura",3152036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4388","HeithausEtal1975-o88","Carollia perspicillata (Linnaeus, 1758)","Solanum hirtum Vahl","eats","Central America","Costa Rica","",NA,"yes",NA,NA,2929212,"Solanum hirtum Vahl","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum",6,7707728,220,1176,7717,2928997,FALSE,"Magnoliopsida","Solanum hirtum",2929212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4389","HeithausEtal1975-o88","Carollia perspicillata (Linnaeus, 1758)","Solanum hirtum Vahl","eats","Central America","Costa Rica","",NA,"yes",NA,NA,2929212,"Solanum hirtum Vahl","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum",6,7707728,220,1176,7717,2928997,FALSE,"Magnoliopsida","Solanum hirtum",2929212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4390","HeithausEtal1975-o88","Carollia perspicillata (Linnaeus, 1758)","Solanum hirtum Vahl","eats","Central America","Costa Rica","",NA,"yes",NA,NA,2929212,"Solanum hirtum Vahl","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum",6,7707728,220,1176,7717,2928997,FALSE,"Magnoliopsida","Solanum hirtum",2929212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4391","HeithausEtal1975-o9","Phyllostomus discolor Wagner, 1843","Ochroma lagopus Sw.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,3152241,"Ochroma lagopus Sw.","SPECIES","SYNONYM",98,"EXACT","Plantae","Tracheophyta","Malvales","Malvaceae","Ochroma",6,7707728,220,941,6685,3152238,TRUE,"Magnoliopsida","Ochroma pyramidale",3152240,3152240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4392","HeithausEtal1975-o91","Carollia perspicillata (Linnaeus, 1758)","Piper tuberculatum Jacq.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,3086328,"Piper tuberculatum Jacq.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Piperales","Piperaceae","Piper",6,7707728,220,404,6678,3075433,FALSE,"Magnoliopsida","Piper tuberculatum",3086328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4393","HeithausEtal1975-o91","Carollia perspicillata (Linnaeus, 1758)","Piper tuberculatum Jacq.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,3086328,"Piper tuberculatum Jacq.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Piperales","Piperaceae","Piper",6,7707728,220,404,6678,3075433,FALSE,"Magnoliopsida","Piper tuberculatum",3086328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4394","HeithausEtal1975-o91","Carollia perspicillata (Linnaeus, 1758)","Piper tuberculatum Jacq.","eats","Central America","Costa Rica","",NA,"yes",NA,NA,3086328,"Piper tuberculatum Jacq.","SPECIES","ACCEPTED",98,"EXACT","Plantae","Tracheophyta","Piperales","Piperaceae","Piper",6,7707728,220,404,6678,3075433,FALSE,"Magnoliopsida","Piper tuberculatum",3086328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4395","HeithausEtal1975-o92","Carollia perspicillata (Linnaeus, 1758)","Piper jacquemontianum Kunth","eats","Central America","Costa Rica","",NA,"yes",NA,NA,3086339,"Piper jacquemontianum Kunth","SPECIES","ACCEPTED",92,"FUZZY","Plantae","Tracheophyta","Piperales","Piperaceae","Piper",6,7707728,220,404,6678,3075433,FALSE,"Magnoliopsida","Piper jacquemontianum",3086339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4396","HeithausEtal1975-o92","Carollia perspicillata (Linnaeus, 1758)","Piper jacquemontianum Kunth","eats","Central America","Costa Rica","",NA,"yes",NA,NA,3086339,"Piper jacquemontianum Kunth","SPECIES","ACCEPTED",97,"EXACT","Plantae","Tracheophyta","Piperales","Piperaceae","Piper",6,7707728,220,404,6678,3075433,FALSE,"Magnoliopsida","Piper jacquemontianum",3086339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4397","HeithausEtal1975-o92","Carollia perspicillata (Linnaeus, 1758)","Piper jacquemontianum Kunth","eats","Central America","Costa Rica","",NA,"yes",NA,NA,3086339,"Piper jacquemontianum Kunth","SPECIES","ACCEPTED",92,"FUZZY","Plantae","Tracheophyta","Piperales","Piperaceae","Piper",6,7707728,220,404,6678,3075433,FALSE,"Magnoliopsida","Piper jacquemontianum",3086339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
