"","occurenceId","sourceTaxonName","targetTaxonName","interactionTypeName","localityContinent","localityCountry","roostCat1"
"10834","McClureEtal1967-o847","Taphozous melanopogon ","Tricimba batucola","cohabitates with","Asia","Malaysia",""
"10835","McClureEtal1967-o848","Eonycteris spelaea","Tricimba batucola","cohabitates with","Asia","Malaysia",""
"10836","McClureEtal1967-o849","Rhinolophus affinis","Chyromya sp.","cohabitates with","Asia","Malaysia",""
"10837","McClureEtal1967-o85","Rhinolophus luctus ","Gecko marmorata","cohabitates with","Asia","Malaysia",""
"10838","McClureEtal1967-o850","Rhinolophus luctus ","Chyromya sp.","cohabitates with","Asia","Malaysia",""
"10839","McClureEtal1967-o851","Hipposideros bicolor","Chyromya sp.","cohabitates with","Asia","Malaysia",""
"10840","McClureEtal1967-o852","Hipposideros galiterus ","Chyromya sp.","cohabitates with","Asia","Malaysia",""
"10841","McClureEtal1967-o853","Hipposideros armiger ","Chyromya sp.","cohabitates with","Asia","Malaysia",""
"10842","McClureEtal1967-o854","Hipposideros diadema ","Chyromya sp.","cohabitates with","Asia","Malaysia",""
"10843","McClureEtal1967-o855","Myotis mystacinus","Chyromya sp.","cohabitates with","Asia","Malaysia",""
"10844","McClureEtal1967-o856","Taphozous melanopogon ","Chyromya sp.","cohabitates with","Asia","Malaysia",""
"10845","McClureEtal1967-o857","Eonycteris spelaea","Chyromya sp.","cohabitates with","Asia","Malaysia",""
"10846","McClureEtal1967-o858","Rhinolophus affinis","Phyllomyza cavernae ","cohabitates with","Asia","Malaysia",""
"10847","McClureEtal1967-o859","Rhinolophus luctus ","Phyllomyza cavernae ","cohabitates with","Asia","Malaysia",""
"10848","McClureEtal1967-o86","Hipposideros bicolor","Gecko marmorata","cohabitates with","Asia","Malaysia",""
"10849","McClureEtal1967-o860","Hipposideros bicolor","Phyllomyza cavernae ","cohabitates with","Asia","Malaysia",""
"10850","McClureEtal1967-o861","Hipposideros galiterus ","Phyllomyza cavernae ","cohabitates with","Asia","Malaysia",""
"10851","McClureEtal1967-o862","Hipposideros armiger ","Phyllomyza cavernae ","cohabitates with","Asia","Malaysia",""
"10852","McClureEtal1967-o863","Hipposideros diadema ","Phyllomyza cavernae ","cohabitates with","Asia","Malaysia",""
"10853","McClureEtal1967-o864","Myotis mystacinus","Phyllomyza cavernae ","cohabitates with","Asia","Malaysia",""
"10854","McClureEtal1967-o865","Taphozous melanopogon ","Phyllomyza cavernae ","cohabitates with","Asia","Malaysia",""
"10855","McClureEtal1967-o866","Eonycteris spelaea","Phyllomyza cavernae ","cohabitates with","Asia","Malaysia",""
"10856","McClureEtal1967-o867","Rhinolophus affinis","Leptocera brevicostata","cohabitates with","Asia","Malaysia",""
"10857","McClureEtal1967-o868","Rhinolophus luctus ","Leptocera brevicostata","cohabitates with","Asia","Malaysia",""
"10858","McClureEtal1967-o869","Hipposideros bicolor","Leptocera brevicostata","cohabitates with","Asia","Malaysia",""
"10859","McClureEtal1967-o87","Hipposideros galiterus ","Gecko marmorata","cohabitates with","Asia","Malaysia",""
"10860","McClureEtal1967-o870","Hipposideros galiterus ","Leptocera brevicostata","cohabitates with","Asia","Malaysia",""
"10861","McClureEtal1967-o871","Hipposideros armiger ","Leptocera brevicostata","cohabitates with","Asia","Malaysia",""
"10862","McClureEtal1967-o872","Hipposideros diadema ","Leptocera brevicostata","cohabitates with","Asia","Malaysia",""
"10863","McClureEtal1967-o873","Myotis mystacinus","Leptocera brevicostata","cohabitates with","Asia","Malaysia",""
"10864","McClureEtal1967-o874","Taphozous melanopogon ","Leptocera brevicostata","cohabitates with","Asia","Malaysia",""
"10865","McClureEtal1967-o875","Eonycteris spelaea","Leptocera brevicostata","cohabitates with","Asia","Malaysia",""
"10866","McClureEtal1967-o876","Rhinolophus affinis","Eucampsipoda sundaicum","cohabitates with","Asia","Malaysia",""
"10867","McClureEtal1967-o877","Rhinolophus luctus ","Eucampsipoda sundaicum","cohabitates with","Asia","Malaysia",""
"10868","McClureEtal1967-o878","Hipposideros bicolor","Eucampsipoda sundaicum","cohabitates with","Asia","Malaysia",""
"10869","McClureEtal1967-o879","Hipposideros galiterus ","Eucampsipoda sundaicum","cohabitates with","Asia","Malaysia",""
"10870","McClureEtal1967-o88","Hipposideros armiger ","Gecko marmorata","cohabitates with","Asia","Malaysia",""
"10871","McClureEtal1967-o880","Hipposideros armiger ","Eucampsipoda sundaicum","cohabitates with","Asia","Malaysia",""
"10872","McClureEtal1967-o881","Hipposideros diadema ","Eucampsipoda sundaicum","cohabitates with","Asia","Malaysia",""
"10873","McClureEtal1967-o882","Myotis mystacinus","Eucampsipoda sundaicum","cohabitates with","Asia","Malaysia",""
"10874","McClureEtal1967-o883","Taphozous melanopogon ","Eucampsipoda sundaicum","cohabitates with","Asia","Malaysia",""
"10875","McClureEtal1967-o884","Eonycteris spelaea","Eucampsipoda sundaicum","cohabitates with","Asia","Malaysia",""
"10876","McClureEtal1967-o885","Rhinolophus affinis","Nycteribosca sp.","cohabitates with","Asia","Malaysia",""
"10877","McClureEtal1967-o886","Rhinolophus luctus ","Nycteribosca sp.","cohabitates with","Asia","Malaysia",""
"10878","McClureEtal1967-o887","Hipposideros bicolor","Nycteribosca sp.","cohabitates with","Asia","Malaysia",""
"10879","McClureEtal1967-o888","Hipposideros galiterus ","Nycteribosca sp.","cohabitates with","Asia","Malaysia",""
"10880","McClureEtal1967-o889","Hipposideros armiger ","Nycteribosca sp.","cohabitates with","Asia","Malaysia",""
"10881","McClureEtal1967-o89","Hipposideros diadema ","Gecko marmorata","cohabitates with","Asia","Malaysia",""
"10882","McClureEtal1967-o890","Hipposideros diadema ","Nycteribosca sp.","cohabitates with","Asia","Malaysia",""
"10883","McClureEtal1967-o891","Myotis mystacinus","Nycteribosca sp.","cohabitates with","Asia","Malaysia",""
"10884","McClureEtal1967-o892","Taphozous melanopogon ","Nycteribosca sp.","cohabitates with","Asia","Malaysia",""
"10885","McClureEtal1967-o893","Eonycteris spelaea","Nycteribosca sp.","cohabitates with","Asia","Malaysia",""
"10886","McClureEtal1967-o894","Rhinolophus affinis","Apanteles carpatus ","cohabitates with","Asia","Malaysia",""
"10887","McClureEtal1967-o895","Rhinolophus luctus ","Apanteles carpatus ","cohabitates with","Asia","Malaysia",""
"10888","McClureEtal1967-o896","Hipposideros bicolor","Apanteles carpatus ","cohabitates with","Asia","Malaysia",""
"10889","McClureEtal1967-o897","Hipposideros galiterus ","Apanteles carpatus ","cohabitates with","Asia","Malaysia",""
"10890","McClureEtal1967-o898","Hipposideros armiger ","Apanteles carpatus ","cohabitates with","Asia","Malaysia",""
"10891","McClureEtal1967-o899","Hipposideros diadema ","Apanteles carpatus ","cohabitates with","Asia","Malaysia",""
"10892","McClureEtal1967-o9","Hipposideros diadema","mites ","coprophagia","Asia","Malaysia",""
"10893","McClureEtal1967-o90","Eonycteris spelaea","Gecko marmorata","cohabitates with","Asia","Malaysia",""
"10894","McClureEtal1967-o900","Myotis mystacinus","Apanteles carpatus ","cohabitates with","Asia","Malaysia",""
"10895","McClureEtal1967-o901","Taphozous melanopogon ","Apanteles carpatus ","cohabitates with","Asia","Malaysia",""
"10896","McClureEtal1967-o902","Eonycteris spelaea","Apanteles carpatus ","cohabitates with","Asia","Malaysia",""
"10897","McClureEtal1967-o903","Rhinolophus affinis","Epitranus stantoni ","cohabitates with","Asia","Malaysia",""
"10898","McClureEtal1967-o904","Rhinolophus luctus ","Epitranus stantoni ","cohabitates with","Asia","Malaysia",""
"10899","McClureEtal1967-o905","Hipposideros bicolor","Epitranus stantoni ","cohabitates with","Asia","Malaysia",""
"10900","McClureEtal1967-o906","Hipposideros galiterus ","Epitranus stantoni ","cohabitates with","Asia","Malaysia",""
"10901","McClureEtal1967-o907","Hipposideros armiger ","Epitranus stantoni ","cohabitates with","Asia","Malaysia",""
"10902","McClureEtal1967-o908","Hipposideros diadema ","Epitranus stantoni ","cohabitates with","Asia","Malaysia",""
"10903","McClureEtal1967-o909","Myotis mystacinus","Epitranus stantoni ","cohabitates with","Asia","Malaysia",""
"10904","McClureEtal1967-o91","Myotis mystacinus","Gecko marmorata","cohabitates with","Asia","Malaysia",""
"10905","McClureEtal1967-o910","Taphozous melanopogon ","Epitranus stantoni ","cohabitates with","Asia","Malaysia",""
"10906","McClureEtal1967-o911","Eonycteris spelaea","Epitranus stantoni ","cohabitates with","Asia","Malaysia",""
"10907","McClureEtal1967-o912","Rhinolophus affinis","Epitranus lacteipennis","cohabitates with","Asia","Malaysia",""
"10908","McClureEtal1967-o913","Rhinolophus luctus ","Epitranus lacteipennis","cohabitates with","Asia","Malaysia",""
"10909","McClureEtal1967-o914","Hipposideros bicolor","Epitranus lacteipennis","cohabitates with","Asia","Malaysia",""
"10910","McClureEtal1967-o915","Hipposideros galiterus ","Epitranus lacteipennis","cohabitates with","Asia","Malaysia",""
"10911","McClureEtal1967-o916","Hipposideros armiger ","Epitranus lacteipennis","cohabitates with","Asia","Malaysia",""
"10912","McClureEtal1967-o917","Hipposideros diadema ","Epitranus lacteipennis","cohabitates with","Asia","Malaysia",""
"10913","McClureEtal1967-o918","Myotis mystacinus","Epitranus lacteipennis","cohabitates with","Asia","Malaysia",""
"10914","McClureEtal1967-o919","Taphozous melanopogon ","Epitranus lacteipennis","cohabitates with","Asia","Malaysia",""
"10915","McClureEtal1967-o92","Taphozous melanopogon ","Gecko marmorata","cohabitates with","Asia","Malaysia",""
"10916","McClureEtal1967-o920","Eonycteris spelaea","Epitranus lacteipennis","cohabitates with","Asia","Malaysia",""
"10917","McClureEtal1967-o921","Rhinolophus affinis","Trogaspidio sp.","cohabitates with","Asia","Malaysia",""
"10918","McClureEtal1967-o922","Rhinolophus luctus ","Trogaspidio sp.","cohabitates with","Asia","Malaysia",""
"10919","McClureEtal1967-o923","Hipposideros bicolor","Trogaspidio sp.","cohabitates with","Asia","Malaysia",""
