referenceFileName,TaxonName,bat,trophic,roost,#N/A,usageKey_gbif,scientificName_gbif,rank_gbif,status_gbif,confidence_gbif,matchType_gbif,kingdom_gbif,phylum_gbif,order_gbif,family_gbif,genus_gbif,kingdomKey_gbif,phylumKey_gbif,classKey_gbif,orderKey_gbif,familyKey_gbif,genusKey_gbif,synonym_gbif,class_gbif,species_gbif,speciesKey_gbif,acceptedUsageKey_gbif,phylum_Expert,class_Expert,order_Expert,family_Expert,genus_Expert,species_Expert,canonicalName_Expert,authorship_Expert,scientificName_normalized_GBIF,key_GBIF,TaxonMatch_GBIF,confidence_GBIF,status_GBIF,rank_GBIF,kingdom_GBIF,phylum_GBIF,class_GBIF,order_GBIF,family_GBIF,genus_GBIF,species_GBIF,canonicalName_GBIF,authorship_GBIF,scientificName_normalized_Expert,key_GBIF
Gellman_Zielinski_1996,Antrozous pallidus,yes,NA,NA,NA,2432339,"Antrozous pallidus (LeConte, 1856)",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Vespertilionidae,Antrozous,1,44,359,734,9368,2432337,FALSE,Mammalia,Antrozous pallidus,2432339,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Gellman_Zielinski_1996,Antrozous pallidus,yes,NA,NA,NA,2432339,"Antrozous pallidus (LeConte, 1856)",SPECIES,ACCEPTED,94,FUZZY,Animalia,Chordata,Chiroptera,Vespertilionidae,Antrozous,1,44,359,734,9368,2432337,FALSE,Mammalia,Antrozous pallidus,2432339,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Brosset_1966a,Antrozous pallidus,yes,NA,NA,NA,2432339,"Antrozous pallidus (LeConte, 1856)",SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Chiroptera,Vespertilionidae,Antrozous,1,44,359,734,9368,2432337,FALSE,Mammalia,Antrozous pallidus,2432339,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Brosset_1966a,Antrozous pallidus,yes,NA,NA,NA,2432339,"Antrozous pallidus (LeConte, 1856)",SPECIES,ACCEPTED,94,FUZZY,Animalia,Chordata,Chiroptera,Vespertilionidae,Antrozous,1,44,359,734,9368,2432337,FALSE,Mammalia,Antrozous pallidus,2432339,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Brunet_Medellin_2001,Artibeus,yes,NA,NA,NA,2433258,"Artibeus Leach, 1821",GENUS,ACCEPTED,94,HIGHERRANK,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Brunet_Medellin_2001,Artibeus,yes,NA,NA,NA,2433258,"Artibeus Leach, 1821",GENUS,ACCEPTED,94,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwin_Greenhall_1961,Artibeus,yes,NA,NA,NA,2433258,"Artibeus Leach, 1821",GENUS,ACCEPTED,94,HIGHERRANK,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Goodwin_Greenhall_1961,Artibeus,yes,NA,NA,NA,2433258,"Artibeus Leach, 1821",GENUS,ACCEPTED,94,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Brosset_1966a,Artibeus,yes,NA,NA,NA,2433258,"Artibeus Leach, 1821",GENUS,ACCEPTED,94,HIGHERRANK,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Brosset_1966a,Artibeus,yes,NA,NA,NA,2433258,"Artibeus Leach, 1821",GENUS,ACCEPTED,94,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Dominique_1993,Artibeus,yes,NA,NA,NA,2433258,"Artibeus Leach, 1821",GENUS,ACCEPTED,94,HIGHERRANK,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Charles-Dominique_1993,Artibeus,yes,NA,NA,NA,2433258,"Artibeus Leach, 1821",GENUS,ACCEPTED,94,EXACT,Animalia,Chordata,Chiroptera,Phyllostomidae,Artibeus,1,44,359,734,9366,2433258,FALSE,Mammalia,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
Foster_1992,Artibeus andersoni,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,
